PIN_NUM,CALC_AREA,REID,DEED_ACRES,BLDG_VAL,LAND_VAL,TOTAL_VALUE_ASSD,HEATEDAREA,SITE_ADDRESS,CITY_DECODE,TOWNSHIP_DECODE,YEAR_BUILT,TYPE_USE_DECODE,LAND_CLASS_DECODE,ZIPNUM
0798172591,0.14911661,176320,0.16,335909,180000,515909,2399,10036 GOODVIEW CT,,Leesville,1989,SINGLFAM,Residential Less Than 10 Acres,27613
0798351132,0.34346583,176350,0.32,558557,198000,756557,3291,8809 OLD TOM WAY,,Leesville,1990,SINGLFAM,Residential Less Than 10 Acres,27613
0798350038,0.47154786,176351,0.45,463777,165000,628777,3135,8808 OLD TOM WAY,,Leesville,1994,SINGLFAM,Residential Less Than 10 Acres,27613
0798341656,0.37843055,176355,0.37,510254,165000,675254,2898,8700 OLD TOM WAY,,Leesville,1990,SINGLFAM,Residential Less Than 10 Acres,27613
0797347351,0.06337189,176359,0.22,235344,100000,335344,1368,2734 COTTAGE CIR,RALEIGH,House Creek,1989,SINGLFAM,Residential Less Than 10 Acres,27613
1706980633,0.03732275,176403,0.04,320404,85000,405404,1790,6119 FRIARS WALK PL,RALEIGH,House Creek,1989,SINGLFAM,Residential Less Than 10 Acres,27609
2716386065,0.92110904,176451,0.92,232921,75000,307921,1014,10728 PATRICIAN WAY,,Little River,1990,SINGLFAM,Residential Less Than 10 Acres,27597
0783732659,0.04273789,176474,0.04,213518,75000,288518,1305,1033 OAK LAKE CT,RALEIGH,Raleigh,1989,SINGLFAM,Residential Less Than 10 Acres,27606
0772178452,0.25916625,176477,0.26,334008,175000,509008,2197,102 HUNTERS CRSG,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27518
0772179355,0.22152586,176479,0.23,363670,175000,538670,2380,102 DURINGTON PL,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27518
0772270608,0.26112579,176481,0.26,365546,175000,540546,2142,109 HUNTERS CRSG,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27518
0743968366,0.2268387,176488,0.28,288735,170000,458735,1612,119 GETTYSBURG DR,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27513
0743968442,0.19189925,176489,0.19,336211,170000,506211,2236,117 GETTYSBURG DR,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27513
0743964386,0.18708832,176493,0.18,301529,170000,471529,2058,102 CROATAN CIR,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27513
0668482529,0.92873209,176533,0.93,447115,140000,587115,2972,5004 HANNA LN,,Holly Springs,1997,SINGLFAM,Residential Less Than 10 Acres,27526
