PIN_NUM,Permit Type Mapped,Work Class,Proposed Work Description,Applied Date,Issued Date,Estimated Project Cost,CO Issued Date,Month Issued,Year Issued,Current Status,Permit Number
0798936390,Building,Alteration/Repairs,"Kitchen Remodel: No framing work to be done. Install new shut-off valves, plates. etc on all new plu",5/5/2023,5/15/2023,9356.56,,5,2023,Complete,BLDR-022101-2023
0798936390,Building,Alteration/Repairs,Repair one CMU pier and floor framing repairs per engineer report,8/8/2024,8/14/2024,3395,,8,2024,Complete,BLDR-039739-2024
0798924652,Building,Alterations/repairs,REPLACEMENT SIDING NON-STRUCTURAL,3/15/2011,3/15/2011,20880,40701.50935,3,2011,INACTIVE (INSPECTIONS COMPLETED),091263
0798924652,Building,Deck/Porch,SCREENED PORCH (236 SF) AND DECK (69 SF),9/11/2019,10/1/2019,0,,10,2019,Complete,BLDR-013113-2019
0798920233,Building,Alteration/Repairs,ADD ONE CAR GARAGE ON EXISTING HOME,6/9/2015,6/11/2015,0,,6,2015,Complete,122763
0798920233,Building,Alteration/Repairs,Foundation repair using the installation of 2 helical piers and 1 pipe pier.,3/20/2024,3/27/2024,4873.8,,3,2024,Complete,BLDR-013469-2024
0798919101,Building,Alterations/repairs,SUPPORT FOR CONCRETE FOOTINGS,8/13/2014,8/13/2014,700,41894.51619,8,2014,INACTIVE (INSPECTIONS COMPLETED),116141
0798919101,Building,Addition,"14 X 30 SUNROOM, 14 X 24 OPEN PORCH W/ROOF",8/18/2009,8/27/2009,65000,40120.55624,8,2009,INACTIVE (INSPECTIONS COMPLETED),082387
0798915242,Building,Addition,,4/26/2000,4/26/2000,29000,36698.80078,4,2000,INACTIVE (INSPECTIONS COMPLETED),001043
0798839319,Building,Other,8 X 12 DECK EXTENSION,5/23/2007,5/30/2007,2500,,5,2007,INACTIVE (INSPECTIONS COMPLETED),066636
0798839319,Building,Alterations/repairs,REPAIR WATER DAMAGE,2/6/2007,2/6/2007,12000,39372.48749,2,2007,INACTIVE (INSPECTIONS COMPLETED),063672
0798834606,Building,Alteration/Repairs,FINISH 3RD FLOOR ATTIC,5/1/2015,5/1/2015,0,42125,5,2015,Complete,121701
0798826197,Building,Alterations/repairs,ALTERATION AND REPAIRS,5/23/2003,5/27/2003,28800,37844.56398,5,2003,INACTIVE (INSPECTIONS COMPLETED),028008
0798820002,Building,Deck/Porch,Removal of existing deck and build new  16x16 covered porch and 16x16 open deck. Same footprint as e,5/8/2023,5/19/2023,47270,,5,2023,Complete,BLDR-022248-2023
0798815916,Building,Addition,"BATHROOM, FAMILY ROOM & COMPLETION OF BONUS ROOM",4/17/2001,4/17/2001,45000,37117.75921,4,2001,INACTIVE (INSPECTIONS COMPLETED),009892
0798815916,Building,Alteration/Repairs,FINISH BASEMENT WITH BATHROOM,1/9/2018,1/9/2018,0,43109,1,2018,Complete,145980
0798813161,Building,Other,ENCLOSE EXISTING DECK,7/17/2003,7/22/2003,23000,,7,2003,INACTIVE (INSPECTIONS COMPLETED),029434
0798802008,Building,Deck/Porch,BUILDING 144SF SCREEN PORCH WITH 212SF OPEN DECK,9/23/2019,10/10/2019,0,,10,2019,Complete,BLDR-015298-2019
0798802008,Building,Alteration/Repairs,"Kitchen remodel: full demolition, remove load bearing wall, new hood venting, gas line to range, rel",2/1/2023,2/3/2023,25288,,2,2023,Complete,BLDR-004446-2023
0798802008,Building,Alteration/Repairs,"Installing encapsulation, dehumidifier w/ condensate pump, sealing vents, and 1 GFCI outlet on a new",9/25/2025,10/1/2025,12872,,10,2025,Issued,BLDR-044481-2025
0798801320,Building,Other,BUILD NEW DECK/REPLACE REAR DOORS,2/27/2013,2/28/2013,19800,,2,2013,INACTIVE (INSPECTIONS COMPLETED),104909
0798801320,Building,Addition,ADD PANTRY,6/26/2000,6/26/2000,8000,36747.74022,6,2000,INACTIVE (INSPECTIONS COMPLETED),002670
0798747057,Building,New Building,SFD,9/7/2000,10/12/2000,560000,37025.62112,10,2000,INACTIVE (INSPECTIONS COMPLETED),004313
0798738004,Building,Alterations/repairs,SEALED CRAWL SPACE,9/24/2012,9/24/2012,6700,,9,2012,INACTIVE (INSPECTIONS COMPLETED),101966
0798738004,Building,New Building,TOWNHOUSE TYP. 65556; LOT 119,8/3/2004,8/31/2004,195150,38758.63569,8,2004,INACTIVE (INSPECTIONS COMPLETED),039242
0798737717,Building,New Building,SFD,5/15/2002,6/20/2002,604500,37692.55097,6,2002,INACTIVE (INSPECTIONS COMPLETED),019239
0798735098,Building,Alterations/repairs,SEALED CRAWL SPACE,9/24/2012,9/24/2012,5450,41184.50622,9,2012,INACTIVE (INSPECTIONS COMPLETED),101964
0798735098,Building,New Building,TOWNHOME TYPICAL 65556 LOT 108,11/12/2003,1/23/2004,195150,38308.57816,1,2004,INACTIVE (INSPECTIONS COMPLETED),032320
0798729483,Building,Alterations/repairs,FINISH BONUS ROO OVER GARAGE,7/28/2003,7/29/2003,12000,,7,2003,INACTIVE (INSPECTIONS COMPLETED),029725
0798729483,Building,Alteration/Repairs,STEEL PIER(12) STABILIZATION OF FOUNDATION,9/28/2015,9/28/2015,0,42275,9,2015,Complete,125690
0798729483,Building,Alteration/Repairs,"Removing and reinstalling in the existing frame, 19 new replacement double hung windows and 1 new re",4/19/2024,4/25/2024,0,,4,2024,Issued,BLDR-019169-2024
0798729372,Building,Addition,LAUNDRY ROOM ADDITION 108 SQ FT,10/2/2013,10/9/2013,27300,41927.54939,10,2013,INACTIVE (INSPECTIONS COMPLETED),109797
0798723687,Building,New Building,SFD,2/2/2004,2/19/2004,375000,38259.54755,2,2004,INACTIVE (INSPECTIONS COMPLETED),033967
0798716364,Building,Deck/Porch,DECK AND SCREENED PORCH: RE-BUILD EXISTING 12'X18' SECTION OF DECK WITH 2' EXTENSION AND ADD 12'X18',11/10/2020,11/24/2020,12000,,11,2020,Complete,BLDR-046747-2020
0798711875,Building,Addition,ADD ADDITION TO KITCHEN,12/27/2007,12/27/2007,21500,39545.81628,12,2007,INACTIVE (INSPECTIONS COMPLETED),072009
0798709603,Building,Deck/Porch,Sierra Structures will provide materials and labor to replace existing 192 sq ft deck.  The deck wil,10/6/2021,12/15/2021,9305,,12,2021,Complete,BLDR-048069-2021
0798633293,Building,Alterations/repairs,FINISH ATTIC,1/11/2006,1/12/2006,32500,38882.62866,1,2006,INACTIVE (INSPECTIONS COMPLETED),053173
0798633293,Building,Deck/Porch,REPLACE EXISTING DECK W/ COVERED PORCH AND DECK,3/16/2021,4/24/2021,2800,,4,2021,Complete,BLDR-012112-2021
0798632273,Building,Addition,ADDITION,4/14/2011,4/14/2011,101000,40864.54932,4,2011,INACTIVE (INSPECTIONS COMPLETED),091806
0798632273,Building,Retaining Wall,INSTALL 3.5 FT RETAINING WALL AND REPLACE SECTION OF EXISTING FENCE,9/2/2021,,0,,0,0,In Review,BLDR-042645-2021
0798632116,Building,Alterations/repairs,FINISH OUT WALK UP ATTIC,8/2/2005,8/2/2005,31755,38671.61282,8,2005,INACTIVE (INSPECTIONS COMPLETED),049080
0798632026,Building,Other,14 X 30 SCREEN PORCH OVER EXISTING DECK,6/13/2007,6/13/2007,6800,,6,2007,INACTIVE (INSPECTIONS COMPLETED),067469
0798628580,Building,New Building,SFD,5/5/2005,6/9/2005,375000,38790.58201,6,2005,INACTIVE (INSPECTIONS COMPLETED),046540
0798627171,Building,Other,SUNROOM & PATIO,2/2/2010,2/2/2010,40000,,2,2010,INACTIVE (INSPECTIONS COMPLETED),084698
0798627071,Building,Other,REPAIR DECK AND ADD STAIRS,8/24/2012,8/24/2012,5000,41233.58067,8,2012,INACTIVE (INSPECTIONS COMPLETED),101450
0798627071,Building,Addition,MASTER SUITE ADDITION,2/21/2012,2/21/2012,160000,41233.58067,2,2012,INACTIVE (INSPECTIONS COMPLETED),097686
0798627071,Building,Addition,ADDITION TO KITCHEN/ SCREENED PORCH,10/31/2000,11/1/2000,50000,37050.59698,11,2000,INACTIVE (INSPECTIONS COMPLETED),005541
0798618681,Building,Alterations/repairs,CONVERT ATTIC INTO RECREATION ROOM,1/3/2012,1/11/2012,26815,,1,2012,INACTIVE (INSPECTIONS COMPLETED),096856
0798618681,Building,Other,ADD FRONT PORCH 8 X 32,10/13/2009,10/13/2009,15000,,10,2009,INACTIVE (INSPECTIONS COMPLETED),083205
0798613457,Building,New Single Family Dwelling,"NEW SFD---Not infill--- Crawl space, unfinished storage",8/12/2021,11/5/2021,613192.32,,11,2021,Complete,BLDR-039358-2021
0798524601,Building,Other,16 X 12 SCREEN PORCH,4/18/2012,4/18/2012,15780,,4,2012,INACTIVE (INSPECTIONS COMPLETED),098933
0798524601,Building,Alterations/repairs,FINISH ATTIC,3/16/2004,3/16/2004,10000,38147.51534,3,2004,INACTIVE (INSPECTIONS COMPLETED),035049
0798523115,Building,Alterations/repairs,"FOUNDATION, FLOOR JOIST REPAIRS",6/14/2012,6/21/2012,6225,41095.51564,6,2012,INACTIVE (INSPECTIONS COMPLETED),100016
0798523115,Building,Alterations/repairs,REMODEL BATHROOM,5/1/2002,5/1/2002,42000,37414.56074,5,2002,INACTIVE (INSPECTIONS COMPLETED),018767
0798523115,Building,Deck/Porch,Build a roof over existing porch.  Project has been submitted for infill compatibility.  The footpri,8/10/2021,9/8/2021,10000,,9,2021,Complete,BLDR-038910-2021
0798510692,Building,Other,EXTEND EXISTING DECK AND ENCLOSE SCREEN PORCH,3/19/2002,3/19/2002,2600,,3,2002,INACTIVE (INSPECTIONS COMPLETED),017569
0798508758,Building,Alteration/Repairs,SCREEN PORCH,2/11/2016,2/17/2016,0,,2,2016,Complete,128806
0798507002,Building,Alterations/repairs,REMODEL KITCHEN & BATH,4/10/2014,4/10/2014,16205,41813.50184,4,2014,INACTIVE (INSPECTIONS COMPLETED),113351
0798507002,Building,Other,CONVERT EXISTING DECK INTO SCREEN PORCH,5/16/2003,5/16/2003,16380,,5,2003,INACTIVE (INSPECTIONS COMPLETED),027808
0798503731,Building,Other,REMODEL DECK & ADD FOOTINGS,4/3/2014,4/4/2014,5000,,4,2014,INACTIVE (INSPECTIONS COMPLETED),113188
0798401077,Building,Addition,Updated on 04/08/2025- Addition of 2-car garage and approximately 1600 heated sqft.  Includes new he,9/18/2024,10/18/2024,414222.03,,10,2024,Complete,BLDR-046604-2024
0798400371,Building,Alteration/Repairs,Laundry room and Bathroom remodel,1/25/2021,2/26/2021,8211.2,,2,2021,Complete,BLDR-003356-2021
0798332351,Building,Alterations/repairs,FINISH UNFINISHED SPACE ABOVE GARAGE,11/28/2005,11/28/2005,4500,,11,2005,INACTIVE (INSPECTIONS COMPLETED),052164
0798332351,Building,Other,DECK,1/12/2004,1/12/2004,2200,,1,2004,INACTIVE (INSPECTIONS COMPLETED),033544
0798331132,Building,Deck/Porch,Replace my deck and enclose part of the new deck,11/10/2025,,20000,,,,Submitted - Online,BLDR-051369-2025
0798320220,Building,Alterations/repairs,ROOM ADDITION & REPLACEMENT DECK,5/12/2010,5/12/2010,20000,,5,2010,INACTIVE (INSPECTIONS COMPLETED),086390
0798320220,Building,Alterations/repairs,SCREEN PORCH,5/12/2010,5/12/2010,10000,,5,2010,INACTIVE (INSPECTIONS COMPLETED),086389
0798303821,Building,Alterations/repairs,SEAL THE CRAWL SPACE,7/18/2013,7/18/2013,3340,41486.51563,7,2013,INACTIVE (INSPECTIONS COMPLETED),108003
0798303821,Building,Alterations/repairs,FINISH 2ND FLOOR,4/19/2013,4/19/2013,2700,42509.47828,4,2013,INACTIVE (INSPECTIONS COMPLETED),106140
0798303821,Building,Alteration/Repairs,DECK,12/5/2017,1/12/2018,0,,1,2018,Complete,145344
0798237128,Building,Other,SCREEN PORCH,10/2/2003,10/2/2003,12000,,10,2003,INACTIVE (INSPECTIONS COMPLETED),031267
0798237128,Building,Alterations/repairs,CLOSE IN EXISTING CARPORT INTO GARAGE,10/2/2001,10/2/2001,2500,37186.52399,10,2001,INACTIVE (INSPECTIONS COMPLETED),014059
0798228809,Building,Alteration/Repairs,"Kitchen renovation: Remove Walls to combine kitchen and dining room, vault ceiling, new cabinets, an",3/24/2021,3/31/2021,20528,,3,2021,Complete,BLDR-013650-2021
0798139321,Building,Other,DETACHED 2 STORY GARAGE,11/26/2013,12/3/2013,66000,,12,2013,INACTIVE (INSPECTIONS COMPLETED),110977
0798139321,Building,Addition,We have an existing detached garage with an unfinished upstairs area that we intend to finish as a p,3/16/2025,,20000,,,,Submitted - Online,BLDR-011260-2025
0798139321,Building,Alteration/Repairs,We have an existing detached garage with an unfinished upstairs area that we intend to finish as a p,3/19/2025,4/11/2025,42246,,4,2025,Issued,BLDR-011964-2025
0798134412,Building,Alterations/repairs,REMODEL LIVING ROOM DOWNSTAIRS,7/11/2012,7/11/2012,12625,41150.51427,7,2012,INACTIVE (INSPECTIONS COMPLETED),100524
0798126830,Building,Other,SCREEN PORCH,8/14/2015,8/18/2015,29179,,8,2015,INACTIVE (INSPECTIONS COMPLETED),124487
0798120490,Building,Addition,ADDITION,6/10/2011,6/15/2011,28188,40886.57205,6,2011,INACTIVE (INSPECTIONS COMPLETED),093163
0798116099,Building,Alterations/repairs,REMODEL 2 BATHROOMS,3/26/2014,3/27/2014,22000,41786.5128,3,2014,INACTIVE (INSPECTIONS COMPLETED),113037
0798109239,Building,Other,DECK,5/3/2001,5/3/2001,2500,,5,2001,INACTIVE (INSPECTIONS COMPLETED),010323
0798108029,Building,Detached Accessory Building,16 X 24 1 STORY DETACHED GARAGE,11/14/2016,11/16/2016,21525,,11,2016,ACTIVE  (ISSUED),135826
0798108029,Building,Accessory Structure,15 X 30 1 STORY DETACHED GARAGE,11/18/2016,11/18/2016,0,,11,2016,Complete,135971
0798102347,Building,Alterations/repairs,THREE SEASON ROOM,4/22/2013,4/25/2013,25000,41717.55601,4,2013,INACTIVE (INSPECTIONS COMPLETED),106167
0798048373,Building,Other,BUILD DECK,11/21/2003,11/21/2003,5000,,11,2003,INACTIVE (INSPECTIONS COMPLETED),032625
0798048373,Building,Addition,"Adding addition to back of current house to include a bedroom. bathroom, and laundry. Will be updati",5/14/2025,8/15/2025,88153.32,,8,2025,Issued,BLDR-021636-2025
0798045091,Building,Alteration/Repairs,"In accordance with the engineer report, we will repair the foundation and crawlspace structure.",1/23/2025,1/28/2025,6900,,1,2025,Complete,BLDR-003156-2025
0798037989,Building,Detached Accessory Building,STORAGE SHED,3/21/2003,3/21/2003,1400,,3,2003,INACTIVE (INSPECTIONS COMPLETED),026338
0798025473,Building,Alterations/repairs,INTERIOR RENOVATION,10/25/2018,10/25/2018,40000,,10,2018,ACTIVE  (ISSUED),153245
0798025473,Building,Alteration/Repairs,MASTER BATH RENOVATION,10/9/2020,10/24/2020,6415,,10,2020,Complete,BLDR-041848-2020
0798023110,Building,Other,TEAR DOWN OLD DECK; ADD SCREEN PORCH,12/18/2007,12/18/2007,19995,,12,2007,INACTIVE (INSPECTIONS COMPLETED),071879
0798021778,Building,Addition,2 STORY REAR ADDITION,4/25/2016,5/17/2016,0,,5,2016,Complete,130776
0798021778,Building,Alteration/Repairs,INTERIOR RENOVATION; PLEASE SEE COMMENTS,5/16/2016,5/17/2016,0,,5,2016,Complete,131337
0798021778,Building,Alteration/Repairs,REAR DECK ADDITION AND PATIO,4/25/2016,5/17/2016,0,,5,2016,Complete,130765
0798021472,Building,Other,SCREEN PORCH & DECK,10/5/2009,10/5/2009,15500,,10,2009,INACTIVE (INSPECTIONS COMPLETED),083103
0798019688,Building,Alterations/repairs,RENOVATION,2/18/2016,2/18/2016,48786,42529.50516,2,2016,INACTIVE (INSPECTIONS COMPLETED),128901
0798019688,Building,Alterations To A Shell - No C O,RELOCATE FRONT DOOR,5/10/2013,5/10/2013,6000,,5,2013,INACTIVE (INSPECTIONS COMPLETED),106592
0798019688,Building,Alterations/repairs,MASTER BATHROOM RENOVATION,12/21/2016,12/21/2016,60000,42807.5306,12,2016,INACTIVE (INSPECTIONS COMPLETED),136773
0798019688,Building,Other - Resd,DECK/PATIO,7/25/2018,7/31/2018,20000,,7,2018,ACTIVE  (ISSUED),151018
0798005309,Building,Alteration/Repairs,CONSTRUCT DECK AND SCREEN ROOM,5/25/2016,6/13/2016,0,,6,2016,Complete,131575
0798003406,Building,Addition,2ND STORY ADDITION ABOVE ATTACHED GARAGE,8/18/2016,8/29/2016,0,,8,2016,Complete,133884
0798002108,Building,Addition,BARTHROOM ADDITION (BACK OF HOUSE),3/12/2007,3/12/2007,32500,39338.85288,3,2007,INACTIVE (INSPECTIONS COMPLETED),064573
0797994849,Building,Alterations/repairs,REMOTED MAST/BATH-REPLACE TUB DECK & FIXTURES,5/30/2012,5/30/2012,34000,41186.51207,5,2012,INACTIVE (INSPECTIONS COMPLETED),099737
0797994415,Building,Addition,"ENLARGE BREAKFAST, ADD WORKSHOP, REMODEL KITCHEN",12/7/2009,12/7/2009,50000,40283.49397,12,2009,INACTIVE (INSPECTIONS COMPLETED),083925
0797993640,Building,Deck/Porch,Replacing the current deck with the exact same identical deck. All dimensions and elevations remain,8/9/2024,8/21/2024,28000,,8,2024,Complete,BLDR-039992-2024
0797983663,Building,Alteration/Repairs,"MOVE SHOWER TO NEW LOCATION, REPLACE TOILET & VANITY IN EXISTING LOCATION. ABANDON TUB PLUMBING, CON",9/21/2021,10/1/2021,4049.28,,10,2021,Complete,BLDR-045566-2021
0797983663,Building,Alteration/Repairs,"Replace shower, vanity, toilet & tub in existing location.  Replace 1 vanity light.  Move 1 vanity l",2/10/2022,2/17/2022,3885.12,,2,2022,Complete,BLDR-007816-2022
0797980869,Building,Other,SCREEN PORCH/ DECK,12/26/2002,12/26/2002,16000,,12,2002,INACTIVE (INSPECTIONS COMPLETED),024722
0797976347,Building,Alteration/Repairs,"Removing and reinstalling in the existing frame 11 new replacement Double Hung windows, and 1 new re",6/16/2023,6/28/2023,35927.68,,6,2023,Issued,BLDR-030055-2023
0797976347,Building,Alteration/Repairs,"CONVERT UNCONDITONED SPACE TO CONDITIONED SECOND FLOOR AND ADD OWNER FURNISHED 9,000 BTU DUCTLESS MI",12/10/2025,,0,,,,In Review,BLDR-055494-2025
0797963448,Building,Other,RE-ROOF,3/20/2007,3/22/2007,5932,,3,2007,INACTIVE (INSPECTIONS COMPLETED),064841
0797963448,Building,Alterations/repairs,FINISH ATTIC,5/29/2003,6/2/2003,18000,37869.48811,6,2003,INACTIVE (INSPECTIONS COMPLETED),028085
0797954726,Building,Alterations/repairs,FINISH EXISTING ATTIC,10/31/2014,10/31/2014,12000,42047.66784,10,2014,INACTIVE (INSPECTIONS COMPLETED),117910
0797951474,Building,Alterations/repairs,,10/25/2004,10/25/2004,2000,38320.57762,10,2004,INACTIVE (INSPECTIONS COMPLETED),041448
0797946595,Building,Alteration/Repairs,BASEMENT TO BECOME INLAW SUITE- WILL NOT BE USED AS ADU,6/17/2022,7/7/2022,49248,,7,2022,Complete,BLDR-031838-2022
0797923519,Building,Alterations/repairs,STEEL PIER STABILAZATION OF EXISTING,1/10/2012,1/10/2012,7100,40927.56566,1,2012,INACTIVE (INSPECTIONS COMPLETED),096977
0797923519,Building,Alterations/repairs,"REHAB - ROOF , TRIM, CEILING WATER DAMAGE",1/3/2012,1/3/2012,23000,41389.51478,1,2012,INACTIVE (INSPECTIONS COMPLETED),096854
0797923519,Building,Addition,"Addition & Renovation
Addition to include:
    Basement - Garage
    1st Floor - sunroom, laundry/pa",1/28/2022,11/17/2023,195788.16,,11,2023,Expired-Closed,BLDR-005229-2022
0797923519,Building,Addition,"REPLACE EXPIRED PERMIT # BLDR-005229-2022 NO CHANGE IN ORIGINAL WORK Addition & Renovation
Addition",6/25/2024,6/26/2024,0,,6,2024,Issued,BLDR-031357-2024
0797919509,Building,Alterations/repairs,"SEAL CRAWL, ADD OUTLET, SUPPLY VENT",4/23/2013,4/23/2013,7600,41603.57572,4,2013,INACTIVE (INSPECTIONS COMPLETED),106195
0797911232,Building,Detached Accessory Building,DETACHED GARAGE,9/27/2000,9/27/2000,17000,,9,2000,INACTIVE (INSPECTIONS COMPLETED),004751
0797911065,Building,Addition,16X14 SUNROOM ADDITION,1/29/2015,2/24/2015,12000,42130.49221,2,2015,INACTIVE (INSPECTIONS COMPLETED),119583
0797911065,Building,Alteration/Repairs,DECK OVER SUNROOM,1/29/2015,2/24/2015,0,,2,2015,Complete,119585
0797909062,Building,Alterations/repairs,KITCHEN REMODEL,6/20/2012,6/20/2012,18000,41142.52878,6,2012,INACTIVE (INSPECTIONS COMPLETED),100113
0797909062,Building,Other,SCREENED PORCH,11/27/2001,11/27/2001,22000,,11,2001,INACTIVE (INSPECTIONS COMPLETED),015109
0797906829,Building,Deck/Porch,14'x14' covered porch on rear of house with electrical outlets and lighting,5/9/2023,5/23/2023,34300,,5,2023,Complete,BLDR-022768-2023
0797901176,Building,Alteration/Repairs,DECK,11/17/2015,11/24/2015,0,,11,2015,Complete,126870
0797900584,Building,Alterations/repairs,KITCHEN RENOVATIONS,3/13/2001,3/13/2001,29000,37035.64527,3,2001,INACTIVE (INSPECTIONS COMPLETED),008857
0797900492,Building,Other,DECK ROOF,11/25/2002,11/25/2002,22000,,11,2002,INACTIVE (INSPECTIONS COMPLETED),024205
0797893905,Building,Alterations/repairs,FINISH EXISTING WALK UP ATTIC,10/22/2002,10/22/2002,11000,,10,2002,INACTIVE (INSPECTIONS COMPLETED),023297
0797893457,Building,Alterations/repairs,KITCHEN RENOVATIONS,6/29/2010,6/29/2010,50000,40548.52458,6,2010,INACTIVE (INSPECTIONS COMPLETED),087274
0797893457,Building,Addition,"DEN,BATH, LAUNDRY ROOM, DECK & FRONT PORCH",6/29/2010,6/29/2010,105000,40540.51667,6,2010,INACTIVE (INSPECTIONS COMPLETED),087273
0797891983,Building,Deck/Porch,CONSTRUCT 327 DECK ADN 192 SCREENED PORCH,6/6/2020,,0,,,,Complete,BLDR-021944-2020
0797891754,Building,Other,INSTALL ABOVE GROUND POOL,6/14/2011,6/14/2011,30000,,6,2011,INACTIVE (INSPECTIONS COMPLETED),093224
0797891754,Building,Other,RENOVATE KITCHEN AND 2 UPSTAIRS BATHS/,2/22/2011,2/22/2011,100000,,2,2011,INACTIVE (INSPECTIONS COMPLETED),090889
0797891754,Building,Alterations/repairs,SCREEN PORCH AND DECK AROUND POOL AREA,2/22/2011,2/22/2011,50000,40722.5065,2,2011,INACTIVE (INSPECTIONS COMPLETED),090888
0797890624,Building,Addition,SUNROOM & DECK,4/1/2013,4/2/2013,37000,41463.50514,4,2013,INACTIVE (INSPECTIONS COMPLETED),105652
0797890624,Building,Alteration/Repairs,"Foundation repair, Helical Piers - Install 2 helical piers under each orner of the chimney.  The hel",8/6/2021,8/12/2021,0,,8,2021,Complete,BLDR-038483-2021
0797883593,Building,Other,TWO DECKS,6/27/2008,6/30/2008,29906,,6,2008,INACTIVE (INSPECTIONS COMPLETED),076368
0797883593,Building,Addition,9 X 14 SUNROOM & KITCHEN REMODEL,8/27/2007,8/28/2007,40000,39465.53752,8,2007,INACTIVE (INSPECTIONS COMPLETED),069557
0797882119,Building,Addition,"remodel kitchen, bathroom, and an addition on front of the house to create a new foyer.",1/20/2026,2/22/2026,50540,,2,2026,Issued,BLDR-002241-2026
0797881380,Building,Other,16 X 20 SCREEN PORCH,2/15/2013,2/18/2013,36000,,2,2013,INACTIVE (INSPECTIONS COMPLETED),104645
0797881380,Building,Addition,10 X 25 ADDITION,2/15/2013,2/18/2013,70000,41436.5044,2,2013,INACTIVE (INSPECTIONS COMPLETED),104643
0797881380,Building,Alteration/Repairs,"Kitchen remodel.
157 sqft.
Remove pantry
new location for fridge, wall oven, microwave
sink, range a",2/4/2025,2/17/2025,11054.37,,2,2025,Complete,BLDR-004923-2025
0797869845,Building,Alterations/repairs,FINISH BONUS ROOM,11/27/2006,12/1/2006,2000,39127.529,12,2006,INACTIVE (INSPECTIONS COMPLETED),061895
0797869845,Building,Alteration/Repairs,INSULATE AND SHEETROCK EXISTING GARAGE. WILL ADD HVAC TO GARAGE AND KEEP GARAGE DOOR. HVAC REPLACEME,7/14/2021,,0,,0,0,Submitted,BLDR-033994-2021
0797869845,Building,Alteration/Repairs,"UPDATED :Load bearing wall does not have proper point load transfer to footing, we will be addressin",4/8/2025,4/25/2025,0,,4,2025,Complete,BLDR-015350-2025
0797869747,Building,Other,REBUILD EXISTING DECK,7/16/2010,7/16/2010,2500,,7,2010,INACTIVE (INSPECTIONS COMPLETED),087602
0797844591,Building,Alteration/Repairs,PORCH AND DECK,5/30/2019,6/12/2019,0,,6,2019,Complete,158153
0797830640,Building,Detached Accessory Building,ADD 1 STORY  DETACHED GARAGE,11/1/2005,11/2/2005,45000,,11,2005,INACTIVE (INSPECTIONS COMPLETED),051611
0797801947,Building,Other,DECK AND SCREENED PORCH,4/25/2000,4/25/2000,10000,,4,2000,INACTIVE (INSPECTIONS COMPLETED),000978
0797790961,Building,Addition,"Addition:  Master bedroom, bathroom, closet, laundry room and family room. Renovate kitchen Replacin",5/11/2022,8/1/2022,110808,,8,2022,Issued,BLDR-025422-2022
0797790961,Building,Addition,This is a continuation of old permit BLDR-025422-2022 which was in progress and some inspections had,6/19/2024,,121166.85,,,,Submitted - Online,BLDR-030377-2024
0797790961,Building,Addition,"REPLACE EXPIRED PERMIT # BLDR-025422-2022 Addition:  Master bedroom, bathroom, closet, laundry room",8/9/2024,3/19/2025,0,,3,2025,Issued,BLDR-039956-2024
0797778158,Building,Alteration/Repairs,REMODEL BATHROOOM,4/10/2017,4/10/2017,0,42835,4,2017,Complete,139541
0797772625,Building,Alteration/Repairs,Remove and replace 21 windows like for like no structural changes.,4/18/2025,4/29/2025,0,,4,2025,Issued,BLDR-017262-2025
0797747858,Building,Alteration/Repairs,RENOVATION,1/2/2019,1/2/2019,19855,43467,1,2019,Complete,154787
0797744432,Building,Alterations/repairs,KITCHEN & BATH RENOVATION,6/21/2017,6/22/2017,126780,43077.54451,6,2017,INACTIVE (INSPECTIONS COMPLETED),141141
0797744432,Building,Addition,ROOM ADDITION,3/19/2003,3/19/2003,51700,37771.50064,3,2003,INACTIVE (INSPECTIONS COMPLETED),026254
0797735580,Building,Alterations/repairs,REMODEL MASTER BATH AND CLOSET,4/21/2016,4/21/2016,12000,42523.47672,4,2016,INACTIVE (INSPECTIONS COMPLETED),130674
0797735580,Building,Addition,SUNROOM ADDITION,4/26/2013,5/6/2013,29400,41533.50426,5,2013,INACTIVE (INSPECTIONS COMPLETED),106285
0797732599,Building,Other,ROOF OVER FRONT STOOP,4/21/2014,4/25/2014,12500,,4,2014,INACTIVE (INSPECTIONS COMPLETED),113511
0797715254,Building,Addition,CONVERT EXISTING DECK INTO SUNROOM,11/25/2013,12/20/2013,25000,,12,2013,ACTIVE  (ISSUED),110945
0797715254,Building,Alteration/Repairs,Foundation repair including the installation of supports,8/23/2021,9/7/2021,4662.58,,9,2021,Expired-Closed,BLDR-040776-2021
0797706830,Building,Alterations/repairs,ADDING FRONT PORCH 140 SQ FT,12/28/2012,1/3/2013,15800,41337.54867,1,2013,INACTIVE (INSPECTIONS COMPLETED),103714
0797706830,Building,Other,,12/28/2012,,15800,,,,REVIEW IN PROGRESS,103713
0797697563,Building,Addition,FINISH ROOM OVER GARAGE,5/19/2006,5/19/2006,10000,39209.49883,5,2006,INACTIVE (INSPECTIONS COMPLETED),056828
0797697563,Building,Addition,GARAGE,1/20/2004,2/2/2004,45000,38183.54844,2,2004,INACTIVE (INSPECTIONS COMPLETED),033729
0797697563,Building,Alteration/Repairs,REPLACE 19 WINDOWS,1/14/2022,1/25/2022,16148,,1,2022,Complete,BLDR-002723-2022
